user_id,total_orders,avg_days_between_orders,cluster
3,4,20.0,2
10,1,0.0,2
13,2,8.0,2
17,37,9.4,2
24,2,3.0,2
27,72,4.7894736842105265,2
33,2,27.0,2
37,18,11.11111111111111,2
40,9,14.0,2
45,1,0.0,2
52,26,18.0,2
54,74,3.764705882352941,2
57,3,6.0,2
58,2,3.0,2
70,2,11.0,2
72,3,8.0,2
87,26,21.8,2
99,2,14.0,2
103,14,21.0,2
118,13,7.0,2
122,2,6.0,2
131,3,10.0,2
138,16,8.0,2
142,44,4.0,2
146,20,12.0,2
152,48,10.0,2
153,1,0.0,2
178,4,30.0,2
182,7,15.0,2
197,9,5.0,2
201,5,0.0,2
202,3,30.0,2
205,10,30.0,2
209,9,11.0,2
210,1,0.0,2
220,10,30.0,2
222,14,6.0,2
223,39,7.0,2
227,28,4.5,2
232,25,4.0,2
234,31,7.0,2
236,18,2.0,2
243,26,9.0,2
247,5,30.0,2
249,6,6.0,2
257,2,2.0,2
258,7,15.0,2
262,17,4.5,2
264,15,11.0,2
269,3,30.0,2
270,15,7.0,2
274,2,30.0,2
280,41,27.0,2
281,13,30.0,2
284,15,7.0,2
294,15,6.0,2
300,11,6.0,2
307,11,22.0,2
310,45,3.0,2
313,75,2.5483870967741935,2
316,9,11.0,2
320,5,8.0,2
327,55,3.2222222222222223,2
330,5,29.0,2
331,6,30.0,2
334,8,3.0,2
335,2,30.0,2
337,2,28.0,2
338,5,30.0,2
349,6,14.0,2
373,39,5.0,2
374,2,30.0,2
379,17,11.0,2
381,6,15.0,2
388,5,21.5,2
398,8,10.0,2
411,9,13.75,2
420,17,17.0,2
422,19,8.0,2
423,38,7.5,2
427,6,26.25,2
430,3,21.88235294117647,2
432,48,24.0,2
445,1,0.0,2
451,11,15.0,2
452,3,0.0,2
461,4,28.0,2
462,36,7.0,2
463,5,30.0,2
464,27,8.0,2
473,1,0.0,2
474,26,7.0,2
475,16,2.6153846153846154,2
479,11,7.0,2
483,9,11.0,2
484,3,29.0,2
493,7,5.0,2
496,72,4.0,2
509,8,30.0,2
516,63,1.0,2
520,8,9.0,2
525,17,11.0,2
529,35,6.6,2
534,5,14.0,2
535,18,2.272727272727273,2
539,9,8.0,2
543,8,30.0,2
551,9,15.0,2
553,7,7.0,2
558,26,5.0,2
565,1,0.0,2
573,2,8.0,2
593,4,7.0,2
603,4,30.0,2
608,10,30.0,2
626,83,2.0,2
636,4,14.0,2
639,2,6.0,2
649,39,6.6571428571428575,2
650,2,7.0,2
655,14,9.0,2
665,4,6.0,2
667,47,1.8695652173913044,2
688,24,3.125,2
696,12,6.0,2
697,5,20.0,2
698,1,0.0,2
699,33,22.0,2
708,2,30.0,2
710,16,11.0,2
719,5,9.0,2
728,14,25.0,2
729,21,7.0,2
730,10,1.0,2
735,9,5.0,2
738,7,30.0,2
739,2,30.0,2
754,7,9.0,2
758,22,4.0,2
766,12,10.0,2
768,1,0.0,2
779,4,30.0,2
784,6,7.0,2
787,31,1.0,2
789,11,30.0,2
799,10,6.0,2
807,5,7.0,2
809,18,5.0,2
812,2,5.0,2
818,2,7.0,2
824,2,4.0,2
830,5,30.0,2
841,12,29.0,2
844,18,28.0,2
847,22,7.0,2
852,3,6.0,2
854,11,4.0,2
857,43,6.636363636363637,2
864,21,8.454545454545455,2
866,12,20.0,2
870,42,7.0,2
880,43,4.0,2
888,12,7.0,2
893,26,7.0,2
894,38,6.0,2
899,4,2.0,2
903,2,30.0,2
904,5,16.0,2
911,36,5.448275862068965,2
914,2,30.0,2
944,3,15.0,2
950,14,20.0,2
957,20,2.0,2
958,32,7.0,2
961,23,9.0,2
962,25,16.40909090909091,2
963,37,3.0,2
964,64,2.0,2
968,23,5.0,2
970,4,14.0,2
975,9,8.076923076923077,2
997,4,23.0,2
1002,12,1.0,2
1004,51,0.88,2
1017,3,22.0,2
1018,71,2.4285714285714284,2
1022,19,5.0,2
1024,35,1.0,2
1027,4,6.0,2
1029,6,14.0,2
1036,21,8.0,2
1037,6,20.0,2
1041,2,2.0,2
1050,19,7.5,2
1058,5,15.0,2
1059,26,7.0,2
1062,6,2.0,2
1084,30,4.0,2
1086,3,2.0,2
1096,11,4.0,2
1107,25,1.0,2
1120,74,4.0,2
1132,2,30.0,2
1133,2,30.0,2
1134,8,4.0,2
1138,41,1.0,2
1142,17,7.0,2
1147,5,9.0,2
1157,8,6.0,2
1165,1,0.0,2
1176,2,12.0,2
1177,10,4.0,2
1186,15,8.0,2
1212,14,24.0,2
1214,7,19.0,2
1219,14,10.0,2
1238,9,16.0,2
1243,6,30.0,2
1250,46,8.296296296296296,2
1254,14,11.0,2
1256,4,12.0,2
1259,9,7.0,2
1263,22,8.666666666666666,2
1271,39,7.0,2
1280,7,13.0,2
1290,7,9.0,2
1291,11,5.0,2
1310,10,1.0,2
1314,18,12.0,2
1323,6,30.0,2
1327,5,11.0,2
1335,9,17.0,2
1340,11,4.0,2
1348,6,14.0,2
1350,5,4.0,2
1353,3,16.0,2
1360,13,27.0,2
1378,76,8.12,2
1382,29,30.0,2
1385,4,11.0,2
1396,23,21.0,2
1398,10,30.0,2
